"";"country_code";"date";"deaths"
"173";"DJ";2020-03-30;0
"174";"DJ";2020-04-06;0
"175";"DK";2020-03-16;4
"176";"DK";2020-03-23;24
"177";"DK";2020-03-30;77
"178";"DK";2020-04-06;187
"179";"DM";2020-03-30;0
"180";"DM";2020-04-06;0
"181";"DO";2020-03-16;0
"182";"DO";2020-03-23;3
"183";"DO";2020-03-30;42
"184";"DO";2020-04-06;86
"185";"DZ";2020-03-16;4
"186";"DZ";2020-03-23;17
"187";"DZ";2020-03-30;35
"188";"DZ";2020-04-06;173
"189";"EC";2020-03-16;2
"190";"EC";2020-03-23;18
"191";"EC";2020-03-30;62
"192";"EC";2020-04-06;191
"193";"EE";2020-03-16;0
"194";"EE";2020-03-23;0
"195";"EE";2020-03-30;3
"196";"EE";2020-04-06;19
"197";"EG";2020-03-16;4
"198";"EG";2020-03-23;19
"199";"EG";2020-03-30;41
"200";"EG";2020-04-06;85
"201";"ER";2020-03-23;0
"202";"ER";2020-03-30;0
"203";"ER";2020-04-06;0
"204";"ES";2020-03-16;342
"205";"ES";2020-03-23;2311
"206";"ES";2020-03-30;7716
"207";"ES";2020-04-06;13341
"208";"ET";2020-03-16;0
"209";"ET";2020-03-23;0
"210";"ET";2020-03-30;0
"211";"ET";2020-04-06;2
"212";"FI";2020-03-16;0
"213";"FI";2020-03-23;1
"214";"FI";2020-03-30;13
"215";"FI";2020-04-06;27
"216";"FJ";2020-03-23;0
"217";"FJ";2020-03-30;0
"218";"FJ";2020-04-06;0
"219";"FO";2020-03-16;0
"220";"FO";2020-03-23;0
"221";"FO";2020-03-30;0
"222";"FO";2020-04-06;0
"223";"FR";2020-03-16;3
"224";"FR";2020-03-23;860
"225";"FR";2020-03-30;3027
"226";"FR";2020-04-06;8911
"227";"GA";2020-03-16;0
"228";"GA";2020-03-23;1
"229";"GA";2020-03-30;1
"230";"GA";2020-04-06;1
"231";"GB";2020-03-16;55
"232";"GB";2020-03-23;335
"233";"GB";2020-03-30;1408
"234";"GB";2020-04-06;5373
"235";"GD";2020-03-30;0
"236";"GD";2020-04-06;0
"237";"GE";2020-03-16;0
"238";"GE";2020-03-23;0
"239";"GE";2020-03-30;0
"240";"GE";2020-04-06;2
"241";"GH";2020-03-16;0
"242";"GH";2020-03-23;2
"243";"GH";2020-03-30;5
"244";"GH";2020-04-06;5
"245";"GI";2020-03-16;0
"246";"GI";2020-03-23;0
"247";"GI";2020-03-30;0
"248";"GI";2020-04-06;0
"249";"GL";2020-03-16;0
"250";"GL";2020-03-23;0
"251";"GL";2020-03-30;0
"252";"GL";2020-04-06;0
"253";"GM";2020-03-23;1
"254";"GM";2020-03-30;1
"255";"GM";2020-04-06;1
"256";"GN";2020-03-16;0
"257";"GN";2020-03-23;0
"258";"GN";2020-03-30;0
"259";"GN";2020-04-06;0
"260";"GQ";2020-03-23;0
"261";"GQ";2020-03-30;0
"262";"GQ";2020-04-06;0
"263";"GR";2020-03-16;4
"264";"GR";2020-03-23;17
"265";"GR";2020-03-30;46
"266";"GR";2020-04-06;79
"267";"GT";2020-03-16;1
"268";"GT";2020-03-23;1
"269";"GT";2020-03-30;1
"270";"GT";2020-04-06;3
"271";"GU";2020-03-23;1
"272";"GU";2020-03-30;1
"273";"GU";2020-04-06;4
"274";"GW";2020-03-30;0
"275";"GW";2020-04-06;0
"276";"GY";2020-03-30;1
"277";"GY";2020-04-06;4
"278";"HK";2020-03-16;4
"279";"HK";2020-03-23;4
"280";"HK";2020-03-30;4
"281";"HK";2020-04-06;4
"282";"HN";2020-03-16;0
"283";"HN";2020-03-23;0
"284";"HN";2020-03-30;7
"285";"HN";2020-04-06;22
"286";"HR";2020-03-16;0
"287";"HR";2020-03-23;1
"288";"HR";2020-03-30;6
"289";"HR";2020-04-06;16
"290";"HT";2020-03-23;0
"291";"HT";2020-03-30;0
"292";"HT";2020-04-06;1
"293";"HU";2020-03-16;1
"294";"HU";2020-03-23;7
"295";"HU";2020-03-30;15
"296";"HU";2020-04-06;38
"297";"ID";2020-03-16;5
"298";"ID";2020-03-23;49
"299";"ID";2020-03-30;122
"300";"ID";2020-04-06;209
"301";"IE";2020-03-16;2
"302";"IE";2020-03-23;6
"303";"IE";2020-03-30;54
"304";"IE";2020-04-06;174
"305";"IL";2020-03-16;0
"306";"IL";2020-03-23;1
"307";"IL";2020-03-30;16
"308";"IL";2020-04-06;57
"309";"IM";2020-03-30;0
"310";"IM";2020-04-06;1
"311";"IN";2020-03-16;2
"312";"IN";2020-03-23;9
"313";"IN";2020-03-30;32
"314";"IN";2020-04-06;133
"315";"IQ";2020-03-16;10
"316";"IQ";2020-03-23;23
"317";"IQ";2020-03-30;46
"318";"IQ";2020-04-06;64
"319";"IR";2020-03-16;853
"320";"IR";2020-03-23;1812
"321";"IR";2020-03-30;2757
"322";"IR";2020-04-06;3739
"323";"IS";2020-03-16;0
"324";"IS";2020-03-23;1
"325";"IS";2020-03-30;2
"326";"IS";2020-04-06;6
"327";"IT";2020-03-16;2157
"328";"IT";2020-03-23;6077
"329";"IT";2020-03-30;11591
"330";"IT";2020-04-06;16523
"331";"JM";2020-03-16;0
"332";"JM";2020-03-23;1
"333";"JM";2020-03-30;1
"334";"JM";2020-04-06;3
"335";"JO";2020-03-16;0
"336";"JO";2020-03-23;0
"337";"JO";2020-03-30;5
"338";"JO";2020-04-06;6
"339";"JP";2020-03-16;28
"340";"JP";2020-03-23;42
"341";"JP";2020-03-30;54
"342";"JP";2020-04-06;85
"343";"KE";2020-03-16;0
"344";"KE";2020-03-23;0
"345";"KE";2020-03-30;1
"346";"KE";2020-04-06;6
"347";"KG";2020-03-23;0
"348";"KG";2020-03-30;0
"349";"KG";2020-04-06;4
"350";"KH";2020-03-16;0
"351";"KH";2020-03-23;0
"352";"KH";2020-03-30;0
"353";"KH";2020-04-06;0
"354";"KN";2020-03-30;0
"355";"KN";2020-04-06;0
"356";"KR";2020-03-16;75
"357";"KR";2020-03-23;111
"358";"KR";2020-03-30;158
"359";"KR";2020-04-06;186
"360";"KW";2020-03-16;0
"361";"KW";2020-03-23;0
"362";"KW";2020-03-30;0
"363";"KW";2020-04-06;1
"364";"KY";2020-03-16;1
"365";"KY";2020-03-23;1
"366";"KY";2020-03-30;1
"367";"KY";2020-04-06;1
"368";"KZ";2020-03-16;0
"369";"KZ";2020-03-23;0
"370";"KZ";2020-03-30;1
"371";"KZ";2020-04-06;6
"372";"LA";2020-03-30;0
"373";"LA";2020-04-06;0
"374";"LB";2020-03-16;3
"375";"LB";2020-03-23;4
"376";"LB";2020-03-30;11
"377";"LB";2020-04-06;19
"378";"LC";2020-03-16;0
"379";"LC";2020-03-23;0
"380";"LC";2020-03-30;0
"381";"LC";2020-04-06;0
"382";"LI";2020-03-16;0
"383";"LI";2020-03-23;0
"384";"LI";2020-03-30;0
"385";"LI";2020-04-06;1
"386";"LK";2020-03-16;0
"387";"LK";2020-03-23;0
"388";"LK";2020-03-30;2
"389";"LK";2020-04-06;5
"390";"LR";2020-03-16;0
"391";"LR";2020-03-23;0
"392";"LR";2020-03-30;0
"393";"LR";2020-04-06;3
"394";"LT";2020-03-16;0
"395";"LT";2020-03-23;1
"396";"LT";2020-03-30;7
"397";"LT";2020-04-06;15
"398";"LU";2020-03-16;1
"399";"LU";2020-03-23;8
"400";"LU";2020-03-30;22
"401";"LU";2020-04-06;41
"402";"LV";2020-03-16;0
"403";"LV";2020-03-23;0
"404";"LV";2020-03-30;0
"405";"LV";2020-04-06;1
"406";"LY";2020-03-30;0
"407";"LY";2020-04-06;1
"408";"MA";2020-03-16;1
"409";"MA";2020-03-23;4
"410";"MA";2020-03-30;33
"411";"MA";2020-04-06;80
"412";"MC";2020-03-16;0
"413";"MC";2020-03-23;0
"414";"MC";2020-03-30;1
"415";"MC";2020-04-06;1
"416";"MD";2020-03-16;0
"417";"MD";2020-03-23;1
"418";"MD";2020-03-30;2
"419";"MD";2020-04-06;19
"420";"ME";2020-03-23;1
"421";"ME";2020-03-30;1
"422";"ME";2020-04-06;2
"423";"MG";2020-03-23;0
"424";"MG";2020-03-30;0
"425";"MG";2020-04-06;0
"426";"MK";2020-03-16;0
"427";"MK";2020-03-23;2
"428";"MK";2020-03-30;7
"429";"MK";2020-04-06;23
"430";"ML";2020-03-30;2
"431";"ML";2020-04-06;5
"432";"MM";2020-03-30;0
"433";"MM";2020-04-06;1
"434";"MN";2020-03-16;0
"435";"MN";2020-03-23;0
"436";"MN";2020-03-30;0
"437";"MN";2020-04-06;0
"438";"MO";2020-03-16;0
"439";"MO";2020-03-23;0
"440";"MO";2020-03-30;0
"441";"MO";2020-04-06;0
"442";"MR";2020-03-16;0
"443";"MR";2020-03-23;0
"444";"MR";2020-03-30;1
"445";"MR";2020-04-06;1
"446";"MS";2020-03-23;0
"447";"MS";2020-03-30;0
"448";"MS";2020-04-06;0
"449";"MT";2020-03-16;0
"450";"MT";2020-03-23;0
"451";"MT";2020-03-30;0
"452";"MT";2020-04-06;0
"453";"MU";2020-03-23;2
"454";"MU";2020-03-30;3
"455";"MU";2020-04-06;7
"456";"MV";2020-03-16;0
"457";"MV";2020-03-23;0
"458";"MV";2020-03-30;0
"459";"MV";2020-04-06;0
"460";"MX";2020-03-16;0
